Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
544333,Standard Glass Lining Technology Ltd,RADHIKA NANNAPANENI,Director,Equity Shares,139100,0.07,Equity Shares,6000,771000.00,Acquisition,Equity,145100,0.07,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
544119,Rashi Peripherals Ltd,Meena K Choudhary,Promoter Group,Equity Shares,6430242,9.76,Equity Shares,7639,2032328.00,Acquisition,Equity,6437881,9.77,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
544309,Inventurus Knowledge Solutions Ltd,Arindrajit Datta,Designated Person,Equity Shares,319200,0.19,Equity Shares,19541,34710229.00,Disposal,Equity,299659,0.17,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
544309,Inventurus Knowledge Solutions Ltd,Arindrajit Datta,Designated Person,Equity Shares,299659,0.17,Equity Shares,5000,8997447.00,Disposal,Equity,294659,0.17,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
544309,Inventurus Knowledge Solutions Ltd,Arindrajit Datta,Designated Person,Equity Shares,294659,0.17,Equity Shares,7000,12411373.00,Disposal,Equity,287659,0.17,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
543620,Insolation Energy Ltd,Payal Gupta,Promoter & Director,Equity Shares,4100,0.00,Equity Shares,500,133600.00,Acquisition,Equity,4600,0.00,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
543397,Sapphire Foods India Ltd,SHYAM KUMAR Revised ,Designated Person,Equity Shares,8000,0.00,Equity Shares,5000,544420.00,Acquisition,Equity,13000,0.00,04 Jan 2025,04 Jan 2025,04 Mar 2025,ESOP,,,,,,,NA,06 Mar 2025
543397,Sapphire Foods India Ltd,SHYAM KUMAR Revised ,Designated Person,Equity Shares,13000,0.00,Equity Shares,4175,454591.00,Acquisition,Equity,17175,0.00,06 Feb 2025,06 Feb 2025,04 Mar 2025,ESOP,,,,,,,NA,06 Mar 2025
543397,Sapphire Foods India Ltd,SHYAM KUMAR Revised ,Designated Person,Equity Shares,17175,0.00,Equity Shares,1500,453000.00,Disposal,Equity,15675,0.00,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
543397,Sapphire Foods India Ltd,PRABHAT DIXIT,Designated Person,Equity Shares,9990,0.00,Equity Shares,1000,325150.00,Disposal,Equity,8990,0.00,21 Feb 2025,21 Feb 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
543397,Sapphire Foods India Ltd,PRABHAT DIXIT,Designated Person,Equity Shares,8990,0.00,Equity Shares,2000,641000.00,Disposal,Equity,6990,0.00,03 Mar 2025,03 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
543397,Sapphire Foods India Ltd,PRABHAT DIXIT,Designated Person,Equity Shares,6990,0.00,Equity Shares,4990,1681730.00,Disposal,Equity,2000,0.00,06 Mar 2025,06 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
543397,Sapphire Foods India Ltd,HARDIK DESAI,Designated Person,Equity Shares,7030,0.00,Equity Shares,7030,2376140.00,Disposal,Equity,0,0.00,06 Mar 2025,06 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
543525,Silver Touch Technologies Ltd,Vipul Thakkar,Promoter & Director,Equity Shares,2655547,20.94,Equity Shares,860,542832.00,Acquisition,Equity,2656407,20.95,04 Mar 2025,04 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
543525,Silver Touch Technologies Ltd,Vipul Thakkar,Promoter & Director,Equity Shares,2656407,20.95,Equity Shares,820,522455.00,Acquisition,Equity,2657227,20.95,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
543616,Trident Lifeline Ltd,HARDIK DESAI FAMILY TRUST,Promoter Group,Equity Shares,634766,5.52,Equity Shares,6000,1508800.00,Acquisition,Equity,640766,5.57,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
543616,Trident Lifeline Ltd,ASHISH ANANDSINGH BAFNA,KMP,Equity Shares,30000,0.26,Equity Shares,600,133200.00,Acquisition,Equity,30600,0.27,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
543311,India Pesticides Ltd,Anand Swarup Agarwal,Promoter & Director,Equity Shares,35848092,31.13,Equity Shares,10108,1213930.00,Acquisition,Equity,35858200,31.14,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
543401,Go Fashion (India) Ltd,RAHUL SARAOGI,Promoter & Director,Equity Shares,9932320,18.39,Equity Shares,600000,419490000.00,Pledge,Equity,9932320,18.39,03 Mar 2025,03 Mar 2025,05 Mar 2025,Creation Of Pledge,,,,,,,NA,05 Mar 2025
543401,Go Fashion (India) Ltd,RAHUL SARAOGI,Promoter & Director,Equity Shares,9932320,18.39,Equity Shares,130000,94282500.00,Pledge,Equity,9932320,18.39,04 Mar 2025,04 Mar 2025,05 Mar 2025,Creation Of Pledge,,,,,,,NA,05 Mar 2025
543256,Rita Finance and Leasing Ltd,KIRAN MITTAL,Promoter,Equity Shares,741869,7.41,Equity Shares,27000,544321.00,Disposal,Equity,714869,7.15,31 Dec 2024,31 Dec 2024,04 Mar 2025,Market Sale,,,,,,,BSE,05 Mar 2025
543256,Rita Finance and Leasing Ltd,KIRAN MITTAL,Promoter,Equity Shares,714869,7.15,Equity Shares,95843,1629331.00,Disposal,Equity,619026,6.19,04 Mar 2025,04 Mar 2025,04 Mar 2025,Market Sale,,,,,,,BSE,05 Mar 2025
543620,Insolation Energy Ltd,Payal Gupta,Promoter & Director,Equity Shares,600,0.00,Equity Shares,3500,911750.00,Acquisition,Equity,4100,0.00,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
543644,Infobeans Technologies Ltd,Avinash Sethi,Promoter & Director,Equity Shares,5956350,24.44,Equity Shares,1000,317600.00,Acquisition,Equity,5957350,24.45,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
543644,Infobeans Technologies Ltd,Avinash Sethi,Promoter & Director,Equity Shares,5957350,24.45,Equity Shares,1000,319330.00,Acquisition,Equity,5958350,24.45,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
543644,Infobeans Technologies Ltd,Avinash Sethi,Promoter & Director,Equity Shares,5958350,24.45,Equity Shares,1000,315770.00,Acquisition,Equity,5959350,24.45,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
543644,Infobeans Technologies Ltd,Avinash Sethi,Promoter & Director,Equity Shares,5959350,24.46,Equity Shares,1000,314470.00,Acquisition,Equity,5960350,24.46,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
543652,Fusion Finance Ltd,Devesh Sachdev,Promoter & Director,Equity Shares,4941314,4.89,Equity Shares,350000,50893500.00,Pledge,Equity,4941314,4.89,04 Mar 2025,04 Mar 2025,05 Mar 2025,Creation Of Pledge,,,,,,,NA,05 Mar 2025
543959,SBFC Finance Ltd,Vistra ITCL India  Limited Trustee of SBFC Employee Welfare Trust ,Connected Person,Equity Shares,871000,0.08,Equity Shares,47500,902500.00,Disposal,Equity,823500,0.08,27 Feb 2025,27 Feb 2025,03 Mar 2025,ESOP,,,,,,,NA,05 Mar 2025
544199,GEM Enviro Management Ltd,Sachin Sharma,Promoter & Director,Equity Shares,3471800,15.40,Equity Shares,5600,472000.00,Acquisition,Equity,3477400,15.42,03 Mar 2025,04 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
590066,KCP Ltd,DR. V.L. INDIRA DUTT,Promoter,Equity Shares,10194466,7.91,Equity Shares,27500,4925351.00,Acquisition,Equity,10221966,7.93,04 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
533316,STEL Holdings Ltd,DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,195423,1.06,Equity Shares,13390,5009119.00,Acquisition,Equity,208813,1.13,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
533316,STEL Holdings Ltd,DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,208813,1.13,Equity Shares,68,24611.00,Acquisition,Equity,208881,1.13,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
533316,STEL Holdings Ltd,DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,208881,1.13,Equity Shares,1000,385870.00,Acquisition,Equity,209881,1.14,04 Mar 2025,04 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
533301,Shekhawati Industries Ltd,ADVANCE WOOD PROCESSORS PRIVATE LIMITED,Promoter Group,Equity Shares,0,0.00,Equity Shares,1460000,32570341.00,Acquisition,Equity,1460000,4.24,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
533301,Shekhawati Industries Ltd,ADVANCE WOOD PROCESSORS PRIVATE LIMITED,Promoter Group,Equity Shares,1460000,4.24,Equity Shares,40000,890000.00,Acquisition,Equity,1500000,4.36,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
532899,Kaveri Seed Company Ltd,KAVERI EMPLOYEES TRUST,Connected Person,Equity Shares,296675,0.58,Equity Shares,40000,41302218.00,Acquisition,Equity,336675,0.65,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
533150,Godrej Properties Ltd,Godrej Seeds & Genetics  Limited,Promoter Group,Equity Shares,309922,0.10,Equity Shares,12000,23025133.00,Acquisition,Equity,321922,0.11,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,655635,1.38,Equity Shares,4042,10949896.00,Acquisition,Equity,659677,1.38,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,659677,1.38,Equity Shares,4110,10920138.00,Disposal,Equity,655567,1.38,04 Mar 2025,04 Mar 2025,04 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
539524,Dr. Lal PathLabs Ltd,Dr. Lal PathLabs Employee Welfare Trust,Other,Equity Shares,232962,0.28,Equity Shares,2850,249324.00,Disposal,Equity,230112,0.28,03 Mar 2025,05 Mar 2025,05 Mar 2025,ESOP,,,,,,,NA,05 Mar 2025
539524,Dr. Lal PathLabs Ltd,Nimish Jindal,Designated Person,Equity Shares,4975,0.01,Equity Shares,575,5750.00,Acquisition,Equity,5550,0.01,03 Mar 2025,03 Mar 2025,05 Mar 2025,ESOP,,,,,,,NA,05 Mar 2025
539524,Dr. Lal PathLabs Ltd,Om Prakash Manchanda,Director,Equity Shares,833162,1.00,Equity Shares,18013,42853145.00,Disposal,Equity,815149,0.98,03 Mar 2025,05 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
539788,Khemani Distributors & Marketing Ltd,Vijaykumar Khemani,Promoter & Director,Equity Shares,12059200,52.49,Equity Shares,194400,30401100.00,Disposal,Equity,11864800,51.64,25 Feb 2025,27 Feb 2025,28 Feb 2025,Market Sale,,,,,,,BSE,05 Mar 2025
538987,Talbros Engineering Ltd,SHWETA TALWAR,Promoter,Equity Shares,378128,7.45,Equity Shares,1000,502307.00,Acquisition,Equity,379128,7.47,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
539383,Mahaveer Infoway Ltd,Vishal Jain,Promoter,Equity Shares,107600,1.95,Equity Shares,107600,1076000.00,Disposal,Equity,0,0.00,03 Mar 2025,03 Mar 2025,03 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
539383,Mahaveer Infoway Ltd,Rajendra Kumar Jain,Promoter,Equity Shares,131000,2.38,Equity Shares,85000,850000.00,Disposal,Equity,46000,0.84,03 Mar 2025,03 Mar 2025,03 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
539383,Mahaveer Infoway Ltd,Nirmal Jain,Promoter,Equity Shares,165010,3.00,Equity Shares,65010,650100.00,Disposal,Equity,100000,1.18,03 Mar 2025,03 Mar 2025,03 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
539383,Mahaveer Infoway Ltd,Badam Bai,Promoter,Equity Shares,231700,4.21,Equity Shares,17000,170000.00,Disposal,Equity,214700,3.90,03 Mar 2025,03 Mar 2025,03 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
539383,Mahaveer Infoway Ltd,Ashok Kumar Jain,Promoter & Director,Equity Shares,1268718,23.03,Equity Shares,274610,2746100.00,Acquisition,Equity,1543328,28.01,03 Mar 2025,03 Mar 2025,03 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
540147,Shashijit Infraprojects Ltd,Aakruti Ajitkumar Jain,Promoter & Director,Equity Shares,1452000,2.81,Equity Shares,750000,2452500.00,Acquisition,Equity,2202000,3.03,04 Mar 2025,04 Mar 2025,05 Mar 2025,Preferential Offer,,,,,,,NA,05 Mar 2025
540147,Shashijit Infraprojects Ltd,Saloni Ajitkumar Jain,Promoter Group,Equity Shares,5000,0.01,Equity Shares,500000,1635000.00,Acquisition,Equity,505000,0.70,04 Mar 2025,04 Mar 2025,05 Mar 2025,Preferential Offer,,,,,,,NA,05 Mar 2025
540147,Shashijit Infraprojects Ltd,Ishan Ajitkumar Jain,Promoter Group,Equity Shares,12715,0.02,Equity Shares,500000,1635000.00,Acquisition,Equity,512715,0.71,04 Mar 2025,04 Mar 2025,05 Mar 2025,Preferential Offer,,,,,,,NA,05 Mar 2025
540147,Shashijit Infraprojects Ltd,Chirag Pravinbhai Patel,Promoter Group,Equity Shares,7625,0.02,Equity Shares,750000,2452500.00,Acquisition,Equity,757625,1.04,04 Mar 2025,04 Mar 2025,05 Mar 2025,Preferential Offer,,,,,,,NA,05 Mar 2025
540147,Shashijit Infraprojects Ltd,Meenaben Pravinchandra Patel,Promoter Group,Equity Shares,500,0.00,Equity Shares,500000,1635000.00,Acquisition,Equity,500500,0.69,04 Mar 2025,04 Mar 2025,05 Mar 2025,Preferential Offer,,,,,,,NA,05 Mar 2025
540358,RMC Switchgears Ltd,Ankit Agrawal Revised ,Promoter,Equity Shares,1023320,9.70,Equity Shares,1125,718875.00,Acquisition,Equity,1024445,9.71,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
540358,RMC Switchgears Ltd,Ankit Agrawal,Promoter,Equity Shares,1004820,9.52,Equity Shares,1125,718875.00,Acquisition,Equity,1005945,9.53,04 Mar 2025,04 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
540403,CL Educate Ltd,Satya Narayanan Ramakrishnan,Promoter,Equity Shares,9954832,18.40,Equity Shares,5000,352500.00,Acquisition,Equity,9959832,18.41,03 Mar 2025,03 Mar 2025,03 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
540686,Smruthi Organics Ltd,EAGA PURUSHOTHAM MALAIAH,Promoter & Director,Equity Shares,4663062,40.74,Equity Shares,2183,240130.00,Acquisition,Equity,4665245,40.76,04 Mar 2025,04 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
541929,Synergy Green Industries Ltd,Prabhakar Shirgaokar Enterprises LLP,Promoter Group,Equity Shares,7950,0.05,Equity Shares,1500,556470.00,Acquisition,Equity,9450,0.06,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
541929,Synergy Green Industries Ltd,Rajendra Vinayak Shirgaokar,Promoter Group,Equity Shares,22550,0.14,Equity Shares,19000,0.00,Disposal,Equity,3550,0.02,28 Feb 2025,28 Feb 2025,03 Mar 2025,Gift,,,,,,,NA,05 Mar 2025
541929,Synergy Green Industries Ltd,Prafulla Vinayak Shirgaokar,Promoter Group,Equity Shares,114895,0.74,Equity Shares,19000,0.00,Acquisition,Equity,133895,0.86,28 Feb 2025,28 Feb 2025,03 Mar 2025,Gift,,,,,,,NA,05 Mar 2025
541729,HDFC Asset Management Company Ltd,ARUN AGARWAL,Designated Person,Equity Shares,22000,0.01,Equity Shares,1100,4070000.00,Disposal,Equity,20900,0.01,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
543278,Kalyan Jewellers India Ltd,T K Ramesh,Promoter & Director,Equity Shares,186064242,18.04,Equity Shares,3300000,1453980000.00,Pledge,Equity,186064242,18.04,03 Mar 2025,03 Mar 2025,04 Mar 2025,Pledge Released,,,,,,,NA,05 Mar 2025
543278,Kalyan Jewellers India Ltd,T K Ramesh,Promoter & Director,Equity Shares,186064242,18.04,Equity Shares,3300000,1514370000.00,Pledge,Equity,186064242,18.04,04 Mar 2025,04 Mar 2025,04 Mar 2025,Creation Of Pledge,,,,,,,NA,05 Mar 2025
543278,Kalyan Jewellers India Ltd,T K Seetharam,Promoter & Director,Equity Shares,186064242,18.04,Equity Shares,3300000,1453980000.00,Pledge,Equity,186064242,18.04,03 Mar 2025,03 Mar 2025,04 Mar 2025,Pledge Released,,,,,,,NA,05 Mar 2025
543278,Kalyan Jewellers India Ltd,T K Seetharam,Promoter & Director,Equity Shares,186064242,18.04,Equity Shares,3300000,1514370000.00,Pledge,Equity,186064242,18.04,04 Mar 2025,04 Mar 2025,04 Mar 2025,Creation Of Pledge,,,,,,,NA,05 Mar 2025
501423,Shaily Engineering Plastics Ltd,Ashima Rajnish Bakshi,Employee,Equity Shares,0,0.00,Equity Shares,30,1600.00,Acquisition,Equity,30,0.00,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
500444,West Coast Paper Mills Ltd,VEER ENTERPRISES LIMITED,Promoter,Equity Shares,10734434,16.25,Equity Shares,10000,3934587.00,Acquisition,Equity,10744434,16.27,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,5249965,0.21,Equity Shares,32,30518.00,Disposal,Equity,5249933,0.21,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,5249933,0.21,Equity Shares,3375,3375.00,Disposal,Equity,5246558,0.21,28 Feb 2025,28 Feb 2025,04 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,5246558,0.21,Equity Shares,1278,1244030.00,Disposal,Equity,5245280,0.21,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,5245280,0.21,Equity Shares,91,88635.00,Disposal,Equity,5245189,0.21,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,5245189,0.21,Equity Shares,89,89.00,Disposal,Equity,5245100,0.21,03 Mar 2025,03 Mar 2025,05 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  ESOP Plan 2016 A/c,Other,Equity Shares,5245100,0.21,Equity Shares,7317,7081533.00,Disposal,Equity,5237783,0.21,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,5237783,0.21,Equity Shares,48,46474.00,Disposal,Equity,5237735,0.21,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,5237735,0.21,Equity Shares,2228,2228.00,Disposal,Equity,5235507,0.21,04 Mar 2025,04 Mar 2025,05 Mar 2025,Off Market,,,,,,,NA,05 Mar 2025
500339,Rain Industries Ltd,Sujala Investments Private Limited,Promoter,Equity Shares,37780675,11.23,Equity Shares,30902,3838657.00,Acquisition,Equity,37811577,11.24,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
500294,NCC Ltd,Bhupathi Raju Kausalya,Promoter Group,Equity Shares,178590,0.03,Equity Shares,11500,1986625.00,Acquisition,Equity,190090,0.03,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
500180,HDFC Bank Ltd,CHAKRAPANI VENKATACHARI,Other,Equity Shares,165184,0.00,Equity Shares,7500,12751089.00,Disposal,Equity,157684,0.00,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
512103,Nidhi Granites Ltd,Devan Pandya,Promoter & Director,Equity Shares,2659684,33.25,Equity Shares,2680696,26806960.00,Acquisition,Equity,5340380,66.76,25 Feb 2025,25 Feb 2025,27 Feb 2025,Inter-se Transfer,,,,,,,BSE,05 Mar 2025
511413,Crest Ventures Ltd,FINE ESTATES PRIVATE LIMITED,Promoter,Equity Shares,15713467,55.23,Equity Shares,55789,18506845.00,Acquisition,Equity,15769256,55.43,28 Feb 2025,03 Mar 2025,03 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
511589,Avonmore Capital & Management Services Ltd,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,Equity Shares,92517750,32.78,Equity Shares,155000,2532700.00,Acquisition,Equity,92672750,32.84,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
511754,Shalibhadra Finance Ltd,Dhruvil Minesh Doshi,Promoter Group,Equity Shares,21308,0.28,Equity Shares,3000,1613500.00,Acquisition,Equity,24308,0.31,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
509709,International Conveyors Ltd,Elpro International Limited,Promoter Group,Equity Shares,31199,0.05,Equity Shares,26447,1825589.00,Acquisition,Equity,57646,0.09,27 Feb 2025,27 Feb 2025,03 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
511523,Veerhealth Care Ltd,Krupa Harsh Jain,Promoter,Equity Shares,446600,2.23,Equity Shares,250000,2722500.00,Acquisition,Equity,696600,3.48,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
511523,Veerhealth Care Ltd,Kalpana Dharnendra Shah,Promoter,Equity Shares,193974,0.97,Equity Shares,100000,1150000.00,Disposal,Equity,93974,0.47,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,BSE,05 Mar 2025
509020,Ruchi Infrastructure Ltd,Bhavna Goel,Promoter Group,Equity Shares,1933498,0.82,Equity Shares,154328,1284075.00,Disposal,Equity,1779170,0.75,25 Feb 2025,03 Mar 2025,04 Mar 2025,Market Sale,,,,,,,NSE,05 Mar 2025
509020,Ruchi Infrastructure Ltd,Bhavna Goel,Promoter Group,Equity Shares,1779170,0.75,Equity Shares,17424,141591.00,Disposal,Equity,1761746,0.75,27 Feb 2025,03 Mar 2025,04 Mar 2025,Market Sale,,,,,,,BSE,05 Mar 2025
505537,Zee Entertainment Enterprises Ltd,Shreyasi Goenka wife of Punit Goenka ,Employees Immediate Relative,Equity Shares,0,0.00,Equity Shares,1383500,134647339.00,Acquisition,Equity,1383500,0.14,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
505537,Zee Entertainment Enterprises Ltd,Udayan Goenka Son of Punit Goenka ,Employees Immediate Relative,Equity Shares,0,0.00,Equity Shares,1415450,134653032.00,Acquisition,Equity,1415450,0.15,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
531069,Vijay Solvex Ltd,Raghuvar India  Limited,Promoter Group,Equity Shares,129389,4.04,Equity Shares,4,3950.00,Acquisition,Equity,129393,4.04,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
531147,Alicon Castalloy Ltd,Shailendrajit Rai,Promoter & Director,Equity Shares,1115768,6.86,Equity Shares,1350,1022054.00,Acquisition,Equity,1117118,6.87,28 Feb 2025,28 Feb 2025,03 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
530919,Remsons Industries Ltd,Krishna Kejriwal,Promoter,Equity Shares,8345295,23.93,Equity Shares,15000,1927000.00,Acquisition,Equity,8360295,23.97,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
531400,Almondz Global Securities Ltd,AVONMORE CAPITAL & MANAGEMENT SERVICES LTD,Promoter,Equity Shares,85600574,50.31,Equity Shares,52000,1060512.00,Acquisition,Equity,85652574,49.71,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
530363,Ugar Sugar Works Ltd-$,CHANDAN SANJEEV SHIRGAOKAR,Promoter & Director,Equity Shares,1680719,1.49,Equity Shares,25838,1202867.00,Acquisition,Equity,1706557,1.51,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,05 Mar 2025
530825,Daikaffil Chemicals India Ltd,SAMS Industries Private Limited,Promoter Group,Equity Shares,199392,3.32,Equity Shares,8863,1683952.00,Acquisition,Equity,208255,3.47,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,05 Mar 2025
